name,capital,currency
Afghanistan,Kabul,AFN
Aland Islands,Mariehamn,EUR
Albania,Tirana,ALL
Algeria,Algiers,DZD
American Samoa,Pago Pago,USD
Andorra,Andorra la Vella,EUR
Angola,Luanda,AOA
Anguilla,The Valley,XCD
Antarctica,,AAD
Antigua and Barbuda,St. John's,XCD
Argentina,Buenos Aires,ARS
Armenia,Yerevan,AMD
Aruba,Oranjestad,AWG
Australia,Canberra,AUD
Austria,Vienna,EUR
Azerbaijan,Baku,AZN
Bahrain,Manama,BHD
Bangladesh,Dhaka,BDT
Barbados,Bridgetown,BBD
Belarus,Minsk,BYN
Belgium,Brussels,EUR
Belize,Belmopan,BZD
Benin,Porto-Novo,XOF
Bermuda,Hamilton,BMD
Bhutan,Thimphu,BTN
Bolivia,Sucre,BOB
"Bonaire, Sint Eustatius and Saba",Kralendijk,USD
Bosnia and Herzegovina,Sarajevo,BAM
Botswana,Gaborone,BWP
Bouvet Island,,NOK
Brazil,Brasilia,BRL
British Indian Ocean Territory,Diego Garcia,USD
Brunei,Bandar Seri Begawan,BND
Bulgaria,Sofia,BGN
Burkina Faso,Ouagadougou,XOF
Burundi,Bujumbura,BIF
Cambodia,Phnom Penh,KHR
Cameroon,Yaounde,XAF
Canada,Ottawa,CAD
Cape Verde,Praia,CVE
Cayman Islands,George Town,KYD
Central African Republic,Bangui,XAF
Chad,N'Djamena,XAF
Chile,Santiago,CLP
China,Beijing,CNY
Christmas Island,Flying Fish Cove,AUD
Cocos (Keeling) Islands,West Island,AUD
Colombia,Bogotá,COP
Comoros,Moroni,KMF
Congo,Brazzaville,CDF
Cook Islands,Avarua,NZD
Costa Rica,San Jose,CRC
Croatia,Zagreb,EUR
Cuba,Havana,CUP
Curaçao,Willemstad,ANG
Cyprus,Nicosia,EUR
Czech Republic,Prague,CZK
Democratic Republic of the Congo,Kinshasa,CDF
Denmark,Copenhagen,DKK
Djibouti,Djibouti,DJF
Dominica,Roseau,XCD
Dominican Republic,Santo Domingo,DOP
