name,capital,currency
Afghanistan,Kabul,AFN
Aland Islands,Mariehamn,EUR
Albania,Tirana,ALL
Algeria,Algiers,DZD
American Samoa,Pago Pago,USD
Andorra,Andorra la Vella,EUR
Angola,Luanda,AOA
Anguilla,The Valley,XCD
Antarctica,,AAD
Antigua and Barbuda,St. John's,XCD
Argentina,Buenos Aires,ARS
Armenia,Yerevan,AMD
Aruba,Oranjestad,AWG
Australia,Canberra,AUD
Austria,Vienna,EUR
Azerbaijan,Baku,AZN
Bahrain,Manama,BHD
Bangladesh,Dhaka,BDT
Barbados,Bridgetown,BBD
Belarus,Minsk,BYN
Belgium,Brussels,EUR
Belize,Belmopan,BZD
Benin,Porto-Novo,XOF
Bermuda,Hamilton,BMD
Bhutan,Thimphu,BTN
Bolivia,Sucre,BOB
"Bonaire, Sint Eustatius and Saba",Kralendijk,USD
Bosnia and Herzegovina,Sarajevo,BAM
Botswana,Gaborone,BWP
Bouvet Island,,NOK
Brazil,Brasilia,BRL
British Indian Ocean Territory,Diego Garcia,USD
Brunei,Bandar Seri Begawan,BND
Bulgaria,Sofia,BGN
Burkina Faso,Ouagadougou,XOF
Burundi,Bujumbura,BIF
Cambodia,Phnom Penh,KHR
Cameroon,Yaounde,XAF
Canada,Ottawa,CAD
Cape Verde,Praia,CVE
Cayman Islands,George Town,KYD
Central African Republic,Bangui,XAF
Chad,N'Djamena,XAF
Chile,Santiago,CLP
China,Beijing,CNY
Christmas Island,Flying Fish Cove,AUD
Cocos (Keeling) Islands,West Island,AUD
Colombia,Bogotá,COP
Comoros,Moroni,KMF
Congo,Brazzaville,CDF
Cook Islands,Avarua,NZD
Costa Rica,San Jose,CRC
Croatia,Zagreb,EUR
Cuba,Havana,CUP
Curaçao,Willemstad,ANG
Cyprus,Nicosia,EUR
Czech Republic,Prague,CZK
Democratic Republic of the Congo,Kinshasa,CDF
Denmark,Copenhagen,DKK
Djibouti,Djibouti,DJF
Dominica,Roseau,XCD
Dominican Republic,Santo Domingo,DOP
Ecuador,Quito,USD
Egypt,Cairo,EGP
El Salvador,San Salvador,USD
Equatorial Guinea,Malabo,XAF
Eritrea,Asmara,ERN
Estonia,Tallinn,EUR
Eswatini,Mbabane,SZL
Ethiopia,Addis Ababa,ETB
Falkland Islands,Stanley,FKP
Faroe Islands,Torshavn,DKK
Fiji Islands,Suva,FJD
Finland,Helsinki,EUR
France,Paris,EUR
French Guiana,Cayenne,EUR
French Polynesia,Papeete,XPF
French Southern Territories,Port-aux-Francais,EUR
Gabon,Libreville,XAF
Georgia,Tbilisi,GEL
Germany,Berlin,EUR
Ghana,Accra,GHS
Gibraltar,Gibraltar,GIP
Greece,Athens,EUR
Greenland,Nuuk,DKK
Grenada,St. George's,XCD
Guadeloupe,Basse-Terre,EUR
Guam,Hagatna,USD
Guatemala,Guatemala City,GTQ
Guernsey,St Peter Port,GBP
Guinea,Conakry,GNF
Guinea-Bissau,Bissau,XOF
Guyana,Georgetown,GYD
Haiti,Port-au-Prince,HTG
Heard Island and McDonald Islands,,AUD
Honduras,Tegucigalpa,HNL
Hong Kong S.A.R.,Hong Kong,HKD
Hungary,Budapest,HUF
Iceland,Reykjavik,ISK
India,New Delhi,INR
Indonesia,Jakarta,IDR
Iran,Tehran,IRR
Iraq,Baghdad,IQD
Ireland,Dublin,EUR
Israel,Jerusalem,ILS
Italy,Rome,EUR
Ivory Coast,Yamoussoukro,XOF
Jamaica,Kingston,JMD
Japan,Tokyo,JPY
Jersey,Saint Helier,GBP
Jordan,Amman,JOD
Kazakhstan,Astana,KZT
Kenya,Nairobi,KES
Kiribati,Tarawa,AUD
Kosovo,Pristina,EUR
Kuwait,Kuwait City,KWD
Kyrgyzstan,Bishkek,KGS
Laos,Vientiane,LAK
Latvia,Riga,EUR
Lebanon,Beirut,LBP
Lesotho,Maseru,LSL
Liberia,Monrovia,LRD
Libya,Tripolis,LYD
Liechtenstein,Vaduz,CHF
Lithuania,Vilnius,EUR
Luxembourg,Luxembourg,EUR
Macau S.A.R.,Macao,MOP
Madagascar,Antananarivo,MGA
Malawi,Lilongwe,MWK
Malaysia,Kuala Lumpur,MYR
Maldives,Male,MVR
Mali,Bamako,XOF
Malta,Valletta,EUR
