event_name,home_team,away_team,home_score,away_score,event_date
Stockport County vs Port Vale,Stockport County,Port Vale,1,2,2026-04-28
Peterborough United vs Mansfield Town,Peterborough United,Mansfield Town,0,0,2026-04-28
Northampton Town vs Barnsley,Northampton Town,Barnsley,0,1,2026-04-28
Cardiff City vs Northampton Town,Cardiff City,Northampton Town,5,1,2026-04-25
Wigan Athletic vs AFC Wimbledon,Wigan Athletic,AFC Wimbledon,0,1,2026-04-25
Stockport County vs Peterborough United,Stockport County,Peterborough United,3,1,2026-04-25
Rotherham United vs Reading,Rotherham United,Reading,1,1,2026-04-25
Plymouth Argyle vs Port Vale,Plymouth Argyle,Port Vale,2,1,2026-04-25
Luton Town vs Barnsley,Luton Town,Barnsley,2,1,2026-04-25
Lincoln City vs Wycombe Wanderers,Lincoln City,Wycombe Wanderers,4,3,2026-04-25
Huddersfield Town vs Mansfield Town,Huddersfield Town,Mansfield Town,1,4,2026-04-25
Doncaster Rovers vs Stevenage,Doncaster Rovers,Stevenage,1,1,2026-04-25
Burton Albion vs Exeter City,Burton Albion,Exeter City,1,1,2026-04-25
Bradford City vs Bolton Wanderers,Bradford City,Bolton Wanderers,1,1,2026-04-25
Blackpool vs Leyton Orient,Blackpool,Leyton Orient,1,0,2026-04-25
